subID,trial,sim_choice,sim_attack,k
8,118,6,1,1
8,119,8,0,1
8,39,4,0,1
8,84,8,0,1
8,77,7,1,1
8,7,7,1,1
8,25,8,0,1
8,95,8,0,1
8,108,8,1,1
8,71,6,1,1
8,66,8,1,1
8,76,8,0,1
8,103,6,1,1
8,34,8,0,1
8,59,8,1,1
8,50,6,0,1
8,93,6,0,1
8,2,9,1,1
8,27,8,0,1
8,10,8,1,1
8,26,8,1,1
8,18,6,0,1
8,42,8,0,1
8,87,8,0,1
8,116,6,1,1
8,100,6,1,1
8,79,8,1,1
8,16,8,1,1
8,81,6,0,1
8,20,6,0,1
8,19,7,1,1
8,49,8,0,1
8,44,7,1,1
8,9,8,0,1
8,31,6,1,1
8,74,7,1,1
8,106,6,0,1
8,109,6,1,1
8,61,8,1,1
8,29,8,1,1
8,94,8,1,1
8,107,5,0,1
8,46,6,1,1
8,57,6,0,1
8,102,6,1,1
8,70,6,0,1
8,21,6,0,1
8,38,7,0,1
8,88,6,1,1
8,120,8,1,1
8,101,6,0,1
8,78,8,0,1
8,105,8,1,1
8,72,8,0,1
8,24,5,0,1
8,8,8,0,1
8,17,8,0,1
8,37,6,0,1
8,1,9,1,1
8,53,6,1,1
8,22,8,1,1
8,47,8,0,1
8,83,6,0,1
8,99,6,1,1
8,89,6,1,1
8,14,8,1,1
8,3,8,0,1
8,80,8,0,1
8,96,8,1,1
8,51,9,1,1
8,33,8,1,1
8,40,8,0,1
8,48,8,1,1
8,113,8,1,1
8,15,5,0,1
8,65,8,1,1
8,97,8,0,1
19,5,7,1,1
19,56,6,0,1
19,35,6,0,1
19,55,6,0,1
19,114,8,0,1
19,110,5,0,1
19,60,8,1,1
19,30,5,1,1
19,32,7,0,1
19,6,8,0,1
19,67,7,0,1
19,45,7,0,1
19,117,5,1,1
19,73,6,0,1
19,115,8,1,1
19,112,8,1,1
19,64,8,0,1
19,90,8,0,1
19,4,6,0,1
19,13,6,1,1
19,54,8,0,1
19,63,6,1,1
19,86,7,1,1
19,104,5,0,1
19,91,6,1,1
19,62,8,0,1
19,58,6,1,1
19,52,7,1,1
19,12,9,1,1
19,28,4,0,1
19,75,8,0,1
19,23,7,0,1
19,111,3,0,1
19,92,8,0,1
19,41,8,0,1
19,43,7,0,1
19,11,5,0,1
19,69,7,1,1
19,36,6,1,1
19,98,8,0,1
19,68,6,1,1
19,82,8,0,1
19,85,6,1,1
19,118,3,0,1
19,119,5,0,1
19,39,7,1,1
19,84,8,1,1
19,77,6,1,1
19,7,6,0,1
19,25,7,1,1
19,95,8,0,1
19,108,5,0,1
19,71,6,0,1
19,66,8,0,1
19,76,6,1,1
19,103,3,0,1
19,34,8,0,1
19,59,4,0,1
19,50,4,0,1
19,93,5,1,1
19,2,9,1,1
19,27,8,0,1
19,10,7,0,1
19,26,8,0,1
19,18,5,1,1
19,42,7,0,1
19,87,8,0,1
19,116,5,0,1
19,100,5,0,1
19,79,6,0,1
19,16,6,0,1
19,81,8,1,1
19,20,6,0,1
19,19,5,0,1
19,49,8,0,1
19,44,7,1,1
19,9,8,1,1
19,31,6,0,1
19,74,7,1,1
19,106,2,0,1
19,109,5,0,1
19,61,6,0,1
19,29,8,0,1
19,94,8,0,1
19,107,5,0,1
19,46,7,0,1
19,57,9,1,1
19,102,5,1,1
19,70,6,0,1
19,21,8,1,1
19,38,6,0,1
19,88,6,1,1
19,120,6,0,1
19,101,4,0,1
19,78,8,1,1
19,105,7,1,1
19,72,8,0,1
19,24,8,1,1
19,8,4,1,1
19,17,6,0,1
19,37,6,0,1
19,1,9,1,1
19,53,7,1,1
19,22,8,1,1
19,47,9,1,1
19,83,5,0,1
19,99,5,0,1
19,89,4,0,1
19,14,7,0,1
19,3,6,0,1
19,80,4,0,1
19,96,4,0,1
19,51,6,0,1
19,33,7,1,1
19,40,8,0,1
19,48,8,1,1
19,113,8,0,1
19,15,5,1,1
19,65,8,0,1
19,97,8,0,1
6,5,9,1,1
6,56,5,0,1
