subID,trial,sim_choice,sim_attack,k
8,77,8,0,1
8,7,6,0,1
8,25,8,1,1
8,95,6,0,1
8,108,7,1,1
8,71,8,1,1
8,66,7,0,1
8,76,7,1,1
8,103,4,0,1
8,34,7,1,1
8,59,7,1,1
8,50,7,0,1
8,93,7,1,1
8,2,9,1,1
8,27,8,0,1
8,10,5,0,1
8,26,7,0,1
8,18,5,0,1
8,42,5,0,1
8,87,8,0,1
8,116,7,0,1
8,100,7,1,1
8,79,8,0,1
8,16,7,0,1
8,81,7,1,1
8,20,6,1,1
8,19,5,1,1
8,49,7,0,1
8,44,9,1,1
8,9,7,1,1
8,31,8,1,1
8,74,7,0,1
8,106,8,1,1
8,109,7,0,1
8,61,8,0,1
8,29,8,1,1
8,94,9,1,1
8,107,7,1,1
8,46,6,1,1
8,57,7,0,1
8,102,8,1,1
8,70,8,0,1
8,21,7,0,1
8,38,8,0,1
8,88,8,1,1
8,120,8,1,1
8,101,8,1,1
8,78,4,0,1
8,105,8,1,1
8,72,7,0,1
8,24,6,0,1
8,8,6,1,1
8,17,8,1,1
8,37,8,1,1
8,1,9,1,1
8,53,7,0,1
8,22,7,0,1
8,47,6,0,1
8,83,7,0,1
8,99,7,1,1
8,89,8,1,1
8,14,6,0,1
8,3,6,0,1
8,80,6,1,1
8,96,7,0,1
8,51,7,0,1
8,33,7,0,1
8,40,8,1,1
8,48,7,0,1
8,113,7,0,1
8,15,8,0,1
8,65,9,0,1
8,97,6,1,1
19,5,7,1,1
19,56,5,0,1
19,35,8,0,1
19,55,8,1,1
19,114,6,1,1
19,110,5,1,1
19,60,8,1,1
19,30,5,0,1
19,32,6,0,1
19,6,7,1,1
19,67,8,1,1
19,45,7,1,1
19,117,5,0,1
19,73,6,0,1
19,115,7,1,1
19,112,8,0,1
19,64,7,0,1
19,90,7,0,1
19,4,6,0,1
19,13,7,0,1
19,54,5,0,1
19,63,5,1,1
19,86,4,0,1
19,104,5,1,1
19,91,6,1,1
19,62,5,0,1
19,58,7,1,1
19,52,5,0,1
19,12,4,0,1
19,28,7,0,1
19,75,8,0,1
19,23,5,0,1
19,111,2,0,1
19,92,7,0,1
19,41,8,0,1
19,43,5,0,1
19,11,7,0,1
19,69,8,0,1
19,36,7,0,1
19,98,8,1,1
19,68,6,1,1
19,82,7,0,1
19,85,6,0,1
19,118,6,0,1
19,119,4,1,1
19,39,7,0,1
19,84,6,0,1
19,77,5,0,1
19,7,8,0,1
19,25,7,1,1
19,95,6,0,1
19,108,5,0,1
19,71,5,0,1
19,66,7,0,1
19,76,8,0,1
19,103,4,0,1
19,34,9,0,1
19,59,7,0,1
19,50,6,1,1
19,93,7,0,1
19,2,9,1,1
19,27,7,1,1
19,10,5,0,1
19,26,8,0,1
19,18,6,0,1
19,42,8,0,1
19,87,9,0,1
19,116,4,0,1
19,100,6,0,1
19,79,6,1,1
19,16,7,0,1
19,81,8,1,1
19,20,6,0,1
19,19,5,0,1
19,49,9,1,1
19,44,7,0,1
19,9,5,0,1
19,31,3,0,1
19,74,5,0,1
19,106,6,0,1
19,109,5,1,1
19,61,4,0,1
19,29,9,0,1
19,94,8,0,1
19,107,6,1,1
19,46,8,1,1
19,57,5,0,1
19,102,5,0,1
19,70,6,1,1
19,21,6,1,1
19,38,6,1,1
19,88,6,0,1
19,120,6,0,1
19,101,8,1,1
19,78,8,1,1
19,105,8,0,1
19,72,8,0,1
19,24,4,0,1
19,8,5,0,1
19,17,7,1,1
19,37,7,1,1
19,1,9,1,1
19,53,5,0,1
19,22,6,0,1
19,47,8,1,1
19,83,5,0,1
19,99,7,1,1
19,89,6,0,1
19,14,7,0,1
19,3,5,0,1
19,80,8,0,1
19,96,7,1,1
19,51,4,0,1
19,33,7,1,1
19,40,8,0,1
19,48,7,0,1
19,113,4,0,1
19,15,8,0,1
19,65,8,0,1
19,97,8,1,1
6,5,9,1,1
6,56,6,0,1
6,114,8,0,1
6,35,5,1,1
6,55,8,1,1
6,110,4,0,1
6,60,7,1,1
6,30,6,0,1
6,32,9,1,1
6,6,5,0,1
6,117,7,1,1
6,45,7,0,1
6,67,7,1,1
6,73,5,1,1
6,115,6,0,1
6,112,8,1,1
6,64,6,1,1
6,90,4,0,1
6,4,8,0,1
6,13,6,1,1
6,63,7,0,1
6,86,7,1,1
6,54,7,0,1
6,104,4,0,1
6,91,8,1,1
6,62,6,1,1
6,58,7,1,1
6,52,7,0,1
6,12,8,0,1
6,28,7,0,1
6,75,5,1,1
6,111,8,1,1
6,23,4,0,1
6,92,7,1,1
6,41,3,0,1
6,43,5,0,1
6,69,7,0,1
6,36,8,0,1
6,11,4,1,1
6,68,7,1,1
6,98,5,1,1
6,82,7,0,1
6,85,4,0,1
6,118,6,0,1
6,119,7,0,1
6,84,7,0,1
6,39,7,1,1
6,77,3,0,1
6,7,8,0,1
6,25,8,0,1
6,95,8,0,1
6,108,8,1,1
6,71,5,0,1
6,66,6,1,1
6,76,7,0,1
6,103,8,0,1
6,93,5,0,1
6,34,5,1,1
6,50,6,1,1
6,59,6,1,1
6,2,9,1,1
6,27,8,1,1
6,18,8,0,1
6,10,5,1,1
6,26,5,0,1
6,42,8,1,1
6,87,7,1,1
6,116,8,0,1
6,100,1,0,1
6,79,3,0,1
6,16,6,1,1
6,81,8,1,1
6,20,5,0,1
6,19,5,0,1
6,49,8,0,1
6,44,5,1,1
6,9,8,0,1
6,31,6,0,1
6,74,8,0,1
6,106,7,1,1
6,109,3,1,1
6,61,6,0,1
6,94,7,0,1
6,29,6,0,1
6,107,6,1,1
6,46,8,0,1
6,57,8,1,1
6,102,4,0,1
6,70,7,1,1
6,21,9,0,1
6,38,8,0,1
6,88,8,0,1
6,120,7,0,1
6,101,8,0,1
6,78,4,0,1
6,105,5,0,1
6,72,7,0,1
6,24,8,1,1
6,8,9,1,1
6,17,4,0,1
6,37,5,0,1
6,1,9,0,1
6,53,9,1,1
6,83,8,1,1
6,47,8,0,1
6,22,4,1,1
6,99,4,1,1
6,89,7,1,1
6,14,8,0,1
6,3,8,0,1
6,80,5,1,1
6,96,8,0,1
6,51,8,1,1
6,33,8,0,1
6,40,3,1,1
6,48,8,0,1
6,113,1,0,1
6,65,8,0,1
6,15,4,0,1
6,97,5,0,1
10,5,3,0,1
10,56,3,0,1
10,35,7,0,1
10,55,6,1,1
10,114,5,0,1
10,110,4,0,1
10,60,6,1,1
10,30,4,0,1
10,32,4,0,1
10,6,5,0,1
10,67,7,0,1
10,45,4,0,1
10,117,4,0,1
10,73,5,0,1
10,115,4,0,1
10,112,8,1,1
10,64,9,0,1
10,90,8,0,1
10,4,4,0,1
10,13,5,0,1
10,54,7,0,1
10,63,4,0,1
10,86,6,0,1
10,104,3,0,1
10,91,5,0,1
10,62,4,0,1
10,58,4,1,1
10,52,5,0,1
10,12,6,0,1
10,28,6,1,1
10,75,8,0,1
10,23,7,1,1
10,111,6,0,1
10,92,6,0,1
10,41,2,0,1
10,43,1,0,1
10,11,7,0,1
10,69,7,1,1
10,36,5,0,1
10,98,4,0,1
10,68,3,0,1
10,82,8,0,1
10,85,4,1,1
10,118,3,0,1
10,119,3,0,1
10,39,6,0,1
10,84,8,1,1
10,77,2,0,1
10,7,6,0,1
10,25,5,0,1
10,95,6,0,1
10,108,3,0,1
10,71,5,0,1
10,66,9,1,1
10,76,7,0,1
10,103,2,0,1
10,34,8,0,1
10,59,9,0,1
10,50,3,0,1
10,93,5,1,1
10,2,4,1,1
10,27,6,0,1
10,10,6,1,1
10,26,6,0,1
10,18,5,0,1
10,42,8,1,1
10,87,8,1,1
