,attack,attackProb,attackRange,choice,currProb,predatorType,reward,round,rt,totMoney,trial,subID
0,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,118,5.244800567626953,1756,118,38
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,119,4.529300212860107,1805,119,38
0,FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,12,1.446200251579285,144,12,38
0,TRUE,4.800000190734863,7,4,0.3000000119209289,1,-10,120,3.364300251,1795,120,38
0,FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,13,1.3080999851226809,169,13,38
0,FALSE,2.5999999046325684,7,3,0.1040000021457672,0,9,14,1.3564999103546145,178,14,38
0,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,15,1.0522998571395874,194,15,38
0,TRUE,4.800000190734863,7,3,0.1920000165700912,1,-10,16,0.8508998155593872,184,16,38
0,TRUE,4.800000190734863,7,7,0.768000066,1,-10,17,2.026599884033203,174,17,38
0,FALSE,2.5999999046325684,7,3,0.1040000021457672,0,9,18,0.9970999360084534,183,18,38
0,FALSE,2.5999999046325684,7,3,0.1040000021457672,0,9,19,0.8477000594139099,192,19,38
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,2,6.219695568084717,15,2,38
0,FALSE,4.800000190734863,7,1,0,1,1,20,0.9690998792648317,193,20,38
0,FALSE,2.5999999046325684,7,1,0,0,1,21,0.5219999551773071,194,21,38
0,FALSE,2.5999999046325684,7,1,0,0,1,22,5.768598556518555,195,22,38
0,FALSE,2.5999999046325684,7,3,0.1040000021457672,0,9,23,1.5035001039505005,204,23,38
